Lon,Lat,FRP
-17.5,-42.5,0.0
-17.5,-37.5,0.0
-17.5,-32.5,0.0
-17.5,-27.5,0.0
-17.5,-22.5,0.0
-17.5,-17.5,0.0
-17.5,-12.5,0.0
-17.5,-7.5,0.0
-17.5,-2.5,0.0
-17.5,2.5,0.0
-17.5,7.5,0.0
-17.5,12.5,0.0
-17.5,17.5,0.0
-17.5,22.5,0.0
-17.5,27.5,0.0
-17.5,32.5,0.0
-17.5,37.5,0.0
-17.5,42.5,0.0
-12.5,-42.5,0.0
-12.5,-37.5,0.0
-12.5,-32.5,0.0
-12.5,-27.5,0.0
-12.5,-22.5,0.0
-12.5,-17.5,0.0
-12.5,-12.5,0.0
-12.5,-7.5,0.0
-12.5,-2.5,0.0
-12.5,2.5,0.0
-12.5,7.5,0.0
-12.5,12.5,0.0
-12.5,17.5,0.0
-12.5,22.5,0.0
-12.5,27.5,0.0
-12.5,32.5,0.0
-12.5,37.5,0.0
-12.5,42.5,0.0
-7.5,-42.5,0.0
-7.5,-37.5,0.0
-7.5,-32.5,0.0
-7.5,-27.5,0.0
-7.5,-22.5,0.0
-7.5,-17.5,0.0
-7.5,-12.5,0.0
-7.5,-7.5,0.0
-7.5,-2.5,0.0
-7.5,2.5,0.0
-7.5,7.5,0.0
-7.5,12.5,0.0
-7.5,17.5,0.0
-7.5,22.5,0.0
-7.5,27.5,0.0
-7.5,32.5,0.0
-7.5,37.5,0.0
-7.5,42.5,78.9
-2.5,-42.5,0.0
-2.5,-37.5,0.0
-2.5,-32.5,0.0
-2.5,-27.5,0.0
-2.5,-22.5,0.0
-2.5,-17.5,0.0
-2.5,-12.5,0.0
-2.5,-7.5,0.0
-2.5,-2.5,0.0
-2.5,2.5,0.0
-2.5,7.5,0.0
-2.5,12.5,57.6
-2.5,17.5,0.0
-2.5,22.5,0.0
-2.5,27.5,0.0
-2.5,32.5,0.0
-2.5,37.5,0.0
-2.5,42.5,0.0
2.5,-42.5,0.0
2.5,-37.5,0.0
2.5,-32.5,0.0
2.5,-27.5,0.0
2.5,-22.5,0.0
2.5,-17.5,0.0
2.5,-12.5,0.0
2.5,-7.5,0.0
2.5,-2.5,0.0
2.5,2.5,0.0
2.5,7.5,0.0
2.5,12.5,0.0
2.5,17.5,0.0
2.5,22.5,0.0
2.5,27.5,0.0
2.5,32.5,0.0
2.5,37.5,0.0
2.5,42.5,0.0
7.5,-42.5,0.0
7.5,-37.5,0.0
7.5,-32.5,0.0
7.5,-27.5,0.0
7.5,-22.5,0.0
7.5,-17.5,0.0
7.5,-12.5,0.0
7.5,-7.5,0.0
7.5,-2.5,0.0
7.5,2.5,0.0
7.5,7.5,0.0
7.5,12.5,0.0
7.5,17.5,0.0
7.5,22.5,0.0
7.5,27.5,0.0
7.5,32.5,0.0
7.5,37.5,0.0
7.5,42.5,0.0
12.5,-42.5,0.0
12.5,-37.5,0.0
12.5,-32.5,0.0
12.5,-27.5,0.0
12.5,-22.5,0.0
12.5,-17.5,0.0
12.5,-12.5,1245.4
12.5,-7.5,749.1999999999999
12.5,-2.5,0.0
12.5,2.5,0.0
12.5,7.5,265.9
12.5,12.5,0.0
12.5,17.5,0.0
12.5,22.5,0.0
12.5,27.5,0.0
12.5,32.5,0.0
12.5,37.5,0.0
12.5,42.5,0.0
17.5,-42.5,0.0
17.5,-37.5,0.0
17.5,-32.5,0.0
17.5,-27.5,0.0
17.5,-22.5,0.0
17.5,-17.5,584.5
17.5,-12.5,12713.5
17.5,-7.5,37404.89999999999
17.5,-2.5,844.1
17.5,2.5,0.0
17.5,7.5,0.0
17.5,12.5,0.0
17.5,17.5,0.0
17.5,22.5,0.0
17.5,27.5,0.0
17.5,32.5,0.0
17.5,37.5,0.0
17.5,42.5,0.0
22.5,-42.5,0.0
22.5,-37.5,0.0
22.5,-32.5,0.0
22.5,-27.5,0.0
22.5,-22.5,0.0
22.5,-17.5,3784.9000000000005
22.5,-12.5,17866.600000000006
22.5,-7.5,47676.10000000007
22.5,-2.5,1207.6
22.5,2.5,0.0
22.5,7.5,0.0
22.5,12.5,202.10000000000002
22.5,17.5,0.0
22.5,22.5,0.0
22.5,27.5,0.0
22.5,32.5,0.0
22.5,37.5,0.0
22.5,42.5,0.0
27.5,-42.5,0.0
27.5,-37.5,0.0
27.5,-32.5,0.0
27.5,-27.5,0.0
27.5,-22.5,0.0
27.5,-17.5,2964.1000000000013
27.5,-12.5,9761.000000000002
27.5,-7.5,24465.800000000014
27.5,-2.5,2182.4000000000005
27.5,2.5,0.0
27.5,7.5,270.8
27.5,12.5,0.0
27.5,17.5,0.0
27.5,22.5,0.0
27.5,27.5,0.0
27.5,32.5,0.0
27.5,37.5,0.0
27.5,42.5,0.0
32.5,-42.5,0.0
32.5,-37.5,0.0
32.5,-32.5,0.0
32.5,-27.5,307.6
32.5,-22.5,0.0
32.5,-17.5,99.0
32.5,-12.5,1756.7000000000003
32.5,-7.5,749.4999999999999
32.5,-2.5,252.0
32.5,2.5,287.4
32.5,7.5,914.3
32.5,12.5,203.0
32.5,17.5,0.0
32.5,22.5,0.0
32.5,27.5,0.0
32.5,32.5,0.0
32.5,37.5,0.0
32.5,42.5,0.0
37.5,-42.5,0.0
37.5,-37.5,0.0
37.5,-32.5,0.0
37.5,-27.5,0.0
37.5,-22.5,0.0
37.5,-17.5,0.0
37.5,-12.5,0.0
37.5,-7.5,0.0
37.5,-2.5,0.0
37.5,2.5,101.6
37.5,7.5,240.8
37.5,12.5,84.4
37.5,17.5,0.0
37.5,22.5,0.0
37.5,27.5,0.0
37.5,32.5,0.0
37.5,37.5,0.0
37.5,42.5,0.0
42.5,-42.5,0.0
42.5,-37.5,0.0
42.5,-32.5,0.0
42.5,-27.5,0.0
42.5,-22.5,0.0
42.5,-17.5,0.0
42.5,-12.5,0.0
42.5,-7.5,0.0
42.5,-2.5,0.0
42.5,2.5,0.0
42.5,7.5,0.0
42.5,12.5,0.0
42.5,17.5,0.0
42.5,22.5,0.0
