Lon,Lat,FRP,FC
-17.5,-42.5,0.0,0.0
-17.5,-37.5,0.0,0.0
-17.5,-32.5,0.0,0.0
-17.5,-27.5,0.0,0.0
-17.5,-22.5,0.0,0.0
-17.5,-17.5,0.0,0.0
-17.5,-12.5,0.0,0.0
-17.5,-7.5,0.0,0.0
-17.5,-2.5,0.0,0.0
-17.5,2.5,0.0,0.0
-17.5,7.5,0.0,0.0
-17.5,12.5,3.946249999999999,0.06215277777777778
-17.5,17.5,0.0,0.0
-17.5,22.5,0.0,0.0
-17.5,27.5,0.0,0.0
-17.5,32.5,0.0,0.0
-17.5,37.5,0.0,0.0
-17.5,42.5,0.0,0.0
-12.5,-42.5,0.0,0.0
-12.5,-37.5,0.0,0.0
-12.5,-32.5,0.0,0.0
-12.5,-27.5,0.0,0.0
-12.5,-22.5,0.0,0.0
-12.5,-17.5,0.0,0.0
-12.5,-12.5,0.0,0.0
-12.5,-7.5,0.0,0.0
-12.5,-2.5,0.0,0.0
-12.5,2.5,0.0,0.0
-12.5,7.5,0.28760416666666666,0.009027777777777777
-12.5,12.5,4.134722222222225,0.096875
-12.5,17.5,0.40034722222222213,0.01423611111111111
-12.5,22.5,0.01840277777777778,0.0006944444444444445
-12.5,27.5,0.0,0.0
-12.5,32.5,0.0,0.0
-12.5,37.5,0.0,0.0
-12.5,42.5,0.0,0.0
-7.5,-42.5,0.0,0.0
-7.5,-37.5,0.0,0.0
-7.5,-32.5,0.0,0.0
-7.5,-27.5,0.0,0.0
-7.5,-22.5,0.0,0.0
-7.5,-17.5,0.0,0.0
-7.5,-12.5,0.0,0.0
-7.5,-7.5,0.0,0.0
-7.5,-2.5,0.0,0.0
-7.5,2.5,0.0,0.0
-7.5,7.5,1.2328472222222222,0.035416666666666666
-7.5,12.5,0.2527430555555555,0.007291666666666667
-7.5,17.5,0.025937500000000002,0.0010416666666666667
-7.5,22.5,0.0,0.0
-7.5,27.5,0.0,0.0
-7.5,32.5,0.14114583333333336,0.005555555555555556
-7.5,37.5,0.0,0.0
-7.5,42.5,0.43003472222222217,0.00625
-2.5,-42.5,0.0,0.0
-2.5,-37.5,0.0,0.0
-2.5,-32.5,0.0,0.0
-2.5,-27.5,0.0,0.0
-2.5,-22.5,0.0,0.0
-2.5,-17.5,0.0,0.0
-2.5,-12.5,0.0,0.0
-2.5,-7.5,0.0,0.0
-2.5,-2.5,0.0,0.0
-2.5,2.5,0.0,0.0
-2.5,7.5,0.5334375000000001,0.017708333333333333
-2.5,12.5,6.209270833333332,0.07048611111111111
-2.5,17.5,0.07895833333333334,0.001736111111111111
-2.5,22.5,0.0,0.0
-2.5,27.5,0.0,0.0
-2.5,32.5,0.021041666666666667,0.0006944444444444445
-2.5,37.5,0.0,0.0
-2.5,42.5,0.14659722222222224,0.0045138888888888885
2.5,-42.5,0.0,0.0
2.5,-37.5,0.0,0.0
2.5,-32.5,0.0,0.0
2.5,-27.5,0.0,0.0
2.5,-22.5,0.0,0.0
2.5,-17.5,0.0,0.0
2.5,-12.5,0.0,0.0
2.5,-7.5,0.0,0.0
2.5,-2.5,0.0,0.0
2.5,2.5,0.0,0.0
2.5,7.5,1.3869444444444443,0.03715277777777778
2.5,12.5,0.2411111111111112,0.007291666666666667
2.5,17.5,0.0,0.0
2.5,22.5,0.01638888888888889,0.0010416666666666667
2.5,27.5,0.0,0.0
2.5,32.5,0.3502777777777778,0.007638888888888889
2.5,37.5,0.03267361111111111,0.001388888888888889
2.5,42.5,0.0,0.0
7.5,-42.5,0.0,0.0
7.5,-37.5,0.0,0.0
7.5,-32.5,0.0,0.0
7.5,-27.5,0.0,0.0
7.5,-22.5,0.0,0.0
7.5,-17.5,0.0,0.0
7.5,-12.5,0.0,0.0
7.5,-7.5,0.0,0.0
7.5,-2.5,0.12142361111111111,0.00625
7.5,2.5,0.1485069444444444,0.007291666666666667
7.5,7.5,1.1232986111111112,0.033680555555555554
7.5,12.5,0.24163194444444444,0.007638888888888889
7.5,17.5,0.015173611111111112,0.00034722222222222224
7.5,22.5,0.0,0.0
7.5,27.5,0.0,0.0
7.5,32.5,1.5223958333333334,0.03194444444444444
7.5,37.5,0.0,0.0
7.5,42.5,0.0,0.0
12.5,-42.5,0.0,0.0
12.5,-37.5,0.0,0.0
12.5,-32.5,0.0,0.0
12.5,-27.5,0.0,0.0
12.5,-22.5,0.0,0.0
12.5,-17.5,1.326111111111111,0.021180555555555557
12.5,-12.5,9.933506944444453,0.2829861111111111
12.5,-7.5,7.434999999999997,0.20729166666666668
12.5,-2.5,0.6095486111111112,0.027777777777777776
12.5,2.5,0.06625,0.003472222222222222
12.5,7.5,2.3553819444444435,0.05798611111111111
12.5,12.5,1.2352430555555551,0.03263888888888889
12.5,17.5,0.0,0.0
12.5,22.5,0.0,0.0
12.5,27.5,0.0,0.0
12.5,32.5,0.009166666666666667,0.0006944444444444445
12.5,37.5,0.0,0.0
12.5,42.5,0.0,0.0
17.5,-42.5,0.0,0.0
17.5,-37.5,0.0,0.0
17.5,-32.5,0.05013888888888888,0.001388888888888889
17.5,-27.5,0.04434027777777778,0.003125
17.5,-22.5,0.005729166666666666,0.00034722222222222224
17.5,-17.5,4.643645833333335,0.08020833333333334
17.5,-12.5,82.8644097222222,1.7447916666666667
17.5,-7.5,294.81159722222117,4.808680555555555
17.5,-2.5,12.355277777777792,0.22847222222222222
17.5,2.5,0.05659722222222222,0.0020833333333333333
17.5,7.5,1.5297916666666667,0.033680555555555554
17.5,12.5,0.6952430555555555,0.014583333333333334
17.5,17.5,0.0,0.0
17.5,22.5,0.01625,0.0010416666666666667
17.5,27.5,0.0,0.0
17.5,32.5,0.0,0.0
17.5,37.5,0.0,0.0
17.5,42.5,0.0,0.0
22.5,-42.5,0.0,0.0
22.5,-37.5,0.0,0.0
22.5,-32.5,0.9841666666666665,0.010416666666666666
22.5,-27.5,1.949895833333333,0.021527777777777778
22.5,-22.5,0.058472222222222224,0.0024305555555555556
22.5,-17.5,20.762777777777796,0.4010416666666667
22.5,-12.5,106.05763888888907,1.8895833333333334
22.5,-7.5,374.93434027777676,5.861458333333333
22.5,-2.5,11.679097222222225,0.1951388888888889
22.5,2.5,0.07920138888888889,0.0045138888888888885
22.5,7.5,0.21541666666666662,0.006597222222222222
22.5,12.5,1.0193055555555557,0.013194444444444444
22.5,17.5,0.0,0.0
22.5,22.5,0.0,0.0
22.5,27.5,0.0,0.0
22.5,32.5,0.03284722222222222,0.0006944444444444445
22.5,37.5,0.009756944444444445,0.00034722222222222224
22.5,42.5,0.08461805555555556,0.001388888888888889
27.5,-42.5,0.0,0.0
27.5,-37.5,0.0,0.0
